Formula,Query Result,Total Evaluation Time
Angiogenesis-PT-05-CTLCardinality-0,TRUE,25.182
Angiogenesis-PT-05-CTLCardinality-9,TRUE,46.009
Angiogenesis-PT-05-CTLCardinality-10,TRUE,4422.72
Angiogenesis-PT-05-CTLCardinality-11,FALSE,0.643
Angiogenesis-PT-05-CTLCardinality-12,FALSE,0.687
Angiogenesis-PT-05-CTLCardinality-13,FALSE,0.586
Angiogenesis-PT-05-CTLCardinality-14,FALSE,116008
Angiogenesis-PT-05-CTLCardinality-15,FALSE,5.477
Angiogenesis-PT-05-CTLCardinality-1,TRUE,16.666
Angiogenesis-PT-05-CTLCardinality-2,TRUE,10229.9
Angiogenesis-PT-05-CTLCardinality-3,FALSE,17.235
Angiogenesis-PT-05-CTLCardinality-4,TRUE,125735
Angiogenesis-PT-05-CTLCardinality-5,,
Angiogenesis-PT-05-CTLCardinality-6,TRUE,3.925
Angiogenesis-PT-05-CTLCardinality-7,FALSE,73.244
Angiogenesis-PT-05-CTLCardinality-8,FALSE,91663.4
Angiogenesis-PT-15-CTLCardinality-0,,
Angiogenesis-PT-15-CTLCardinality-9,TRUE,81.587
Angiogenesis-PT-15-CTLCardinality-10,FALSE,14.417
Angiogenesis-PT-15-CTLCardinality-11,TRUE,78.261
Angiogenesis-PT-15-CTLCardinality-12,TRUE,28.92
Angiogenesis-PT-15-CTLCardinality-13,,
Angiogenesis-PT-15-CTLCardinality-14,,
Angiogenesis-PT-15-CTLCardinality-15,FALSE,32.257
Angiogenesis-PT-15-CTLCardinality-1,TRUE,516.788
Angiogenesis-PT-15-CTLCardinality-2,TRUE,73.568
Angiogenesis-PT-15-CTLCardinality-3,TRUE,347.645
Angiogenesis-PT-15-CTLCardinality-4,TRUE,611.851
Angiogenesis-PT-15-CTLCardinality-5,TRUE,206.395
Angiogenesis-PT-15-CTLCardinality-6,,
Angiogenesis-PT-15-CTLCardinality-7,,
Angiogenesis-PT-15-CTLCardinality-8,FALSE,887.243
Angiogenesis-PT-20-CTLCardinality-0,FALSE,173.945
Angiogenesis-PT-20-CTLCardinality-9,FALSE,0.797
Angiogenesis-PT-20-CTLCardinality-10,,
Angiogenesis-PT-20-CTLCardinality-11,,
Angiogenesis-PT-20-CTLCardinality-12,FALSE,836.82
Angiogenesis-PT-20-CTLCardinality-13,TRUE,23128
Angiogenesis-PT-20-CTLCardinality-14,,
Angiogenesis-PT-20-CTLCardinality-15,TRUE,932.399
Angiogenesis-PT-20-CTLCardinality-1,TRUE,12.976
Angiogenesis-PT-20-CTLCardinality-2,FALSE,230.327
Angiogenesis-PT-20-CTLCardinality-3,FALSE,824.574
Angiogenesis-PT-20-CTLCardinality-4,,
Angiogenesis-PT-20-CTLCardinality-5,FALSE,217.222
Angiogenesis-PT-20-CTLCardinality-6,,
Angiogenesis-PT-20-CTLCardinality-7,TRUE,3.463
Angiogenesis-PT-20-CTLCardinality-8,FALSE,0.709
Angiogenesis-PT-25-CTLCardinality-0,,
Angiogenesis-PT-25-CTLCardinality-9,TRUE,396.703
Angiogenesis-PT-25-CTLCardinality-10,FALSE,1573.25
Angiogenesis-PT-25-CTLCardinality-11,FALSE,69.981
Angiogenesis-PT-25-CTLCardinality-12,TRUE,1.274
Angiogenesis-PT-25-CTLCardinality-13,,
Angiogenesis-PT-25-CTLCardinality-14,,
Angiogenesis-PT-25-CTLCardinality-15,,
Angiogenesis-PT-25-CTLCardinality-1,TRUE,299.117
Angiogenesis-PT-25-CTLCardinality-2,FALSE,474.375
Angiogenesis-PT-25-CTLCardinality-3,TRUE,5640.01
Angiogenesis-PT-25-CTLCardinality-4,TRUE,279.455
Angiogenesis-PT-25-CTLCardinality-5,,
Angiogenesis-PT-25-CTLCardinality-6,,
Angiogenesis-PT-25-CTLCardinality-7,FALSE,720.12
Angiogenesis-PT-25-CTLCardinality-8,TRUE,605.696
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-0,FALSE,86.203
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-9,TRUE,11.571
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-10,FALSE,267.783
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-11,TRUE,123947
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-12,TRUE,188402
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-13,FALSE,93.118
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-14,TRUE,3.551
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-15,FALSE,6499.23
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-1,TRUE,129735
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-2,FALSE,5739.32
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-3,FALSE,129430
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-4,FALSE,55.353
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-5,FALSE,11600.5
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-6,FALSE,102258
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-7,FALSE,181.487
BridgeAndVehicles-COL-V20P10N10-CTLCardinality-8,FALSE,121630
BridgeAndVehicles-COL-V20P10N20-CTLCardinality-0,FALSE,21.505
BridgeAndVehicles-COL-V20P10N20-CTLCardinality-9,FALSE,131310
BridgeAndVehicles-COL-V20P10N20-CTLCardinality-10,FALSE,189687
BridgeAndVehicles-COL-V20P10N20-CTLCardinality-11,TRUE,215.565
BridgeAndVehicles-COL-V20P10N20-CTLCardinality-12,FALSE,195089
