Formula,Query Result,Total Evaluation Time
Diffusion2D-PT-D10N050-CTLCardinality-7,TRUE,2345.22
Diffusion2D-PT-D10N050-CTLCardinality-8,FALSE,1693.62
Diffusion2D-PT-D50N010-CTLCardinality-0,TRUE,40354.8
Diffusion2D-PT-D50N010-CTLCardinality-9,FALSE,60218.2
Diffusion2D-PT-D50N010-CTLCardinality-10,TRUE,12108.2
Diffusion2D-PT-D50N010-CTLCardinality-11,,
Diffusion2D-PT-D50N010-CTLCardinality-12,,
Diffusion2D-PT-D50N010-CTLCardinality-13,,
Diffusion2D-PT-D50N010-CTLCardinality-14,,
Diffusion2D-PT-D50N010-CTLCardinality-15,FALSE,46189.6
Diffusion2D-PT-D50N010-CTLCardinality-1,TRUE,59267.5
Diffusion2D-PT-D50N010-CTLCardinality-3,,
Diffusion2D-PT-D50N010-CTLCardinality-4,,
Diffusion2D-PT-D50N010-CTLCardinality-5,,
Diffusion2D-PT-D50N010-CTLCardinality-6,,
Diffusion2D-PT-D50N010-CTLCardinality-7,,
Diffusion2D-PT-D50N010-CTLCardinality-8,FALSE,9505.08
FMS-PT-010-CTLCardinality-0,TRUE,5.047
FMS-PT-010-CTLCardinality-9,,
FMS-PT-010-CTLCardinality-10,,
FMS-PT-010-CTLCardinality-11,FALSE,4367.78
FMS-PT-010-CTLCardinality-12,FALSE,3341.84
FMS-PT-010-CTLCardinality-13,FALSE,18.377
FMS-PT-010-CTLCardinality-14,FALSE,537.522
FMS-PT-010-CTLCardinality-15,FALSE,2108.22
FMS-PT-010-CTLCardinality-1,FALSE,5.672
FMS-PT-010-CTLCardinality-2,FALSE,1059.04
FMS-PT-010-CTLCardinality-3,TRUE,22.676
FMS-PT-010-CTLCardinality-4,TRUE,1.407
FMS-PT-010-CTLCardinality-5,TRUE,0.082
FMS-PT-010-CTLCardinality-6,FALSE,85.547
FMS-PT-010-CTLCardinality-7,FALSE,4.006
FMS-PT-010-CTLCardinality-8,,
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-0,FALSE,2.848
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-9,FALSE,0.991
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-10,FALSE,1.793
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-11,TRUE,1.155
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-12,FALSE,83.246
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-13,FALSE,66.089
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-14,FALSE,0.746
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-15,TRUE,2.683
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-1,FALSE,32.207
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-2,,
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-3,,
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-4,,
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-5,,
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-6,FALSE,2.118
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-7,TRUE,18622.2
IOTPpurchase-PT-C05M04P03D02-CTLCardinality-8,FALSE,29.849
Kanban-PT-0010-CTLCardinality-0,TRUE,0.315
Kanban-PT-0010-CTLCardinality-9,FALSE,0.357
Kanban-PT-0010-CTLCardinality-10,,
Kanban-PT-0010-CTLCardinality-11,,
Kanban-PT-0010-CTLCardinality-12,,
Kanban-PT-0010-CTLCardinality-13,,
Kanban-PT-0010-CTLCardinality-14,FALSE,0.996
Kanban-PT-0010-CTLCardinality-15,FALSE,3.162
Kanban-PT-0010-CTLCardinality-1,FALSE,0.771
Kanban-PT-0010-CTLCardinality-2,,
Kanban-PT-0010-CTLCardinality-3,,
Kanban-PT-0010-CTLCardinality-4,TRUE,0.276
Kanban-PT-0010-CTLCardinality-5,TRUE,0.238
Kanban-PT-0010-CTLCardinality-6,TRUE,0.47
Kanban-PT-0010-CTLCardinality-7,TRUE,9.199
Kanban-PT-0010-CTLCardinality-8,TRUE,0.255
MAPK-PT-008-CTLCardinality-0,,
MAPK-PT-008-CTLCardinality-9,FALSE,1331.7
MAPK-PT-008-CTLCardinality-10,TRUE,9.97
MAPK-PT-008-CTLCardinality-11,,
MAPK-PT-008-CTLCardinality-12,FALSE,2408.86
MAPK-PT-008-CTLCardinality-13,TRUE,140117
MAPK-PT-008-CTLCardinality-14,TRUE,4817.69
MAPK-PT-008-CTLCardinality-15,TRUE,810.446
MAPK-PT-008-CTLCardinality-1,TRUE,13804.7
MAPK-PT-008-CTLCardinality-2,FALSE,8.531
MAPK-PT-008-CTLCardinality-3,TRUE,10.603
MAPK-PT-008-CTLCardinality-4,FALSE,145938
MAPK-PT-008-CTLCardinality-5,TRUE,16.582
MAPK-PT-008-CTLCardinality-6,,
MAPK-PT-008-CTLCardinality-7,TRUE,2.293
MAPK-PT-008-CTLCardinality-8,,
ParamProductionCell-PT-0-CTLCardinality-0,TRUE,10.035
ParamProductionCell-PT-0-CTLCardinality-9,FALSE,12.068
ParamProductionCell-PT-0-CTLCardinality-10,TRUE,172231
ParamProductionCell-PT-0-CTLCardinality-11,FALSE,182040
ParamProductionCell-PT-0-CTLCardinality-12,FALSE,13.231
ParamProductionCell-PT-0-CTLCardinality-13,TRUE,8.012
ParamProductionCell-PT-0-CTLCardinality-14,TRUE,175784
ParamProductionCell-PT-0-CTLCardinality-15,TRUE,168499
ParamProductionCell-PT-0-CTLCardinality-1,FALSE,167502
ParamProductionCell-PT-0-CTLCardinality-2,FALSE,17.245
ParamProductionCell-PT-0-CTLCardinality-3,TRUE,180447
ParamProductionCell-PT-0-CTLCardinality-4,TRUE,54.577
ParamProductionCell-PT-0-CTLCardinality-5,FALSE,203.925
ParamProductionCell-PT-0-CTLCardinality-6,FALSE,161764
ParamProductionCell-PT-0-CTLCardinality-7,TRUE,361118
ParamProductionCell-PT-0-CTLCardinality-8,FALSE,19.722
ParamProductionCell-PT-2-CTLCardinality-0,TRUE,18.097
ParamProductionCell-PT-2-CTLCardinality-9,TRUE,24692.8
ParamProductionCell-PT-2-CTLCardinality-10,TRUE,3.06
ParamProductionCell-PT-2-CTLCardinality-11,TRUE,12723.5
